id,name,category,description,price,stock,image,createdAt,updatedAt
550e8400-e29b-41d4-a716-446655440001,Paracetamol 500mg,Tablets,Analgesic and antipyretic tablet for fever and mild to moderate pain relief,12.50,500,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440002,Amoxicillin 250mg,Capsules,Broad-spectrum antibiotic capsule for bacterial infections,45.00,300,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440003,Ibuprofen 400mg,Tablets,Non-steroidal anti-inflammatory drug for pain and inflammation,18.00,400,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440004,Cetirizine 10mg,Tablets,Antihistamine tablet for allergy symptoms and hay fever,8.50,600,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440005,Metformin 500mg,Tablets,Oral antidiabetic drug for type 2 diabetes management,22.00,350,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440006,Omeprazole 20mg,Capsules,Proton pump inhibitor for acid reflux and gastric ulcers,35.00,250,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440007,Azithromycin 500mg,Tablets,Macrolide antibiotic for respiratory and skin infections,85.00,200,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440008,Atorvastatin 10mg,Tablets,Statin drug for lowering cholesterol and preventing cardiovascular disease,55.00,280,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440009,Amlodipine 5mg,Tablets,Calcium channel blocker for hypertension and angina,30.00,320,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440010,Cough Syrup 100ml,Syrups,Antitussive and expectorant syrup for dry and wet cough relief,65.00,150,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440011,Antacid Syrup 200ml,Syrups,Magnesium hydroxide based antacid for acidity and heartburn,48.00,180,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440012,Iron & Folic Acid Syrup 200ml,Syrups,Iron and folic acid supplement syrup for anaemia,55.00,120,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
550e8400-e29b-41d4-a716-446655440013,Vitamin C 500mg,Tablets,Ascorbic acid supplement for immune support and antioxidant benefits,25.00,500,,2024-01-01T00:00:00.000Z,2024-01-01T00:00:00.000Z
